SN,,,,, Intrested In Learning, Gender, Level, Location,  Date Created,,,,,
320,,,,,Web development,Male,Beginner,Lagos,09/08/2023 10:46,,,,,
321,,,,,Web development,Female,Beginner,Abuja,09/08/2023 10:47,,,,,
322,,,,,Graphic Design,Male,Beginner,Eruwa Oyo State,09/08/2023 10:55,,,,,
323,,,,,Computer Programming,Male,Beginner,LAUTECH, Ogbomoso,09/08/2023 11:09,,,,
324,,,,,Product management,Female,,Ile ife,09/08/2023 11:25,,,,,
325,,,,,Fullstack development,Male,,Abia State,09/08/2023 11:31,,,,,
326,,,,,Technology,Male,Beginner,Abeokuta,09/08/2023 11:38,,,,,
327,,,,,Data Analysis,Male,Beginner,Port Harcourt,09/08/2023 11:57,,,,,
328,,,,,Product design,Male,Beginner,Ibadan,09/08/2023 12:03,,,,,
329,,,,,Graphic design,Male,Beginner,Sagam,09/08/2023 12:10,,,,,
330,,,,,Video Editing,Female,Beginner,Port Harcourt, Nigeria,09/08/2023 12:28,,,,
331,,,,,Coding,Female,Beginner,Lome Togo,09/08/2023 12:40,,,,,
332,,,,,Web design and graphic design,Male,Intermediate,Lagos,09/08/2023 12:56,,,,,
333,,,,,Website development,Male,Intermediate,osogbo, nigeria,09/08/2023 13:02,,,,
334,,,,,Freelancing,Female,Beginner,Ibadan, Oyo state, Nigeria,09/08/2023 13:08,,,
335,,,,,Web development,Male,Intermediate,Akure,09/08/2023 13:27,,,,,
336,,,,,Full stack development,Female,Beginner,Nigeria,09/08/2023 13:48,,,,,
337,,,,,Web development, machine learning,Male,Beginner,Nigeria/Rwanda,09/08/2023 13:50,,,,
338,,,,,Web development,Male,Beginner,Lagos,09/08/2023 14:29,,,,,
339,,,,,Artificial intelligence,Female,Intermediate,Lagos,09/08/2023 14:32,,,,,
340,,,,,Web development and graphic design,Male,Beginner,Abuja FCT,09/08/2023 14:41,,,,,
341,,,,,Yes,Male,Beginner,Ondo state Nigeria,09/08/2023 14:49,,,,,
342,,,,,We Development,Male,Beginner,Offa KWARA State,09/08/2023 14:51,,,,,
343,,,,,Freelancing,Male,Intermediate,Uyo Akwa Ibom,09/08/2023 15:21,,,,,
344,,,,,Freelancing,Male,Intermediate,Uyo Akwa Ibom,09/08/2023 15:24,,,,,
345,,,,,Data analyst,Female,,Choba, Port Harcourt,09/08/2023 15:35,,,,
346,,,,,Webdevelopment,Male,Beginner,Lagos,09/08/2023 15:37,,,,,
347,,,,,Data analyst,Female,Beginner,Choba, Port Harcourt,09/08/2023 15:41,,,,
348,,,,,Web design and software development,Female,Beginner,Lagos,09/08/2023 15:45,,,,,
349,,,,,Digital Marketing,Female,Beginner,Kwara State,09/08/2023 15:53,,,,,
350,,,,,Digital marketing,Female,Beginner,Uyo, Nigeria,09/08/2023 16:29,,,,
351,,,,,Web3,Female,,Lagos,09/08/2023 16:48,,,,,
352,,,,,Generating AI,Male,Beginner,Lagos,09/08/2023 18:51,,,,,
353,,,,,UI/Ux and C++,Female,Intermediate,Nigeria,09/08/2023 19:40,,,,,
354,,,,,UI/Ux and C++,Female,Intermediate,Nigeria,09/08/2023 19:40,,,,,
355,,,,,UI/UX, Software Developer,Male,Beginner,Lagos,09/08/2023 19:59,,,,
356,,,,,DevOps,Male,Beginner,Lagos,09/08/2023 20:18,,,,,
357,,,,,Digital Marketing,Female,Beginner,Kumasi Ghana,09/08/2023 20:35,,,,,
358,,,,,Techpreneur,Female,Beginner,Ogun State, Nigeria,09/08/2023 21:43,,,,
359,,,,,web development,Male,Beginner,abuja,09/08/2023 21:56,,,,,
360,,,,,web development,Female,Beginner,Abuja,09/08/2023 22:02,,,,,
361,,,,,Fullstack Web Development,Male,Beginner,Lagos,10/08/2023 06:24,,,,,
362,,,,,Project management,Female,Beginner,Jos,10/08/2023 07:26,,,,,
363,,,,,Graphic design,Female,Beginner,Abeokuta,10/08/2023 07:33,,,,,
364,,,,,Tech skill,Female,Beginner,Rivers state.,10/08/2023 07:39,,,,,
365,,,,,Digital marketing and Copywriting,Male,Beginner,Oyo state,10/08/2023 09:21,,,,,
366,,,,,Digital marketing and Business consulting,Female,Intermediate,Lagos,10/08/2023 09:27,,,,,
367,,,,,Technology,Female,Beginner,25,bashua road,shomolu, Lagos State,10/08/2023 09:39,,
368,,,,,Web development,Male,Beginner,Nigeria,10/08/2023 09:56,,,,,
369,,,,,Web design/graphic design,Male,Beginner,Ekiti,10/08/2023 10:01,,,,,
370,,,,,Be an expert in tech,Female,Beginner,Kano,10/08/2023 10:18,,,,,
371,,,,,content writing,Female,Professional,calabar, Nigeria,10/08/2023 10:29,,,,
372,,,,,Software Development,Male,Beginner,Nigeria,10/08/2023 10:48,,,,,
373,,,,,Tech,Male,Beginner,Ekiti Nigeria,10/08/2023 10:53,,,,,
374,,,,,Data analysis,Female,Beginner,Lagos,10/08/2023 11:02,,,,,
375,,,,,Software development,Male,Intermediate,Nigeria,10/08/2023 11:04,,,,,
376,,,,,PRODUCT DESIGN,Female,Beginner,LAGOS,10/08/2023 11:15,,,,,
377,,,,,Ui/ux,Female,Beginner,Ogun state,10/08/2023 11:38,,,,,
378,,,,,Digital marketing,Female,Beginner,Ogbomoso,10/08/2023 12:13,,,,,
379,,,,,Website development,Female,Beginner,Akure,10/08/2023 12:43,,,,,
380,,,,,I don't know yet,Female,,Osogbo osun state,10/08/2023 13:12,,,,,
381,,,,,Product management,Female,Intermediate,Ikorodu,10/08/2023 14:18,,,,,
382,,,,,Programming,Female,Beginner,Ondo State,10/08/2023 14:22,,,,,
383,,,,,Graphic design,Female,Beginner,Oyo State, Nigeria,10/08/2023 15:21,,,,
384,,,,,Data analytics,Female,,Akure,10/08/2023 16:03,,,,,
385,,,,,Web development,Female,Beginner,Ireland,10/08/2023 16:03,,,,,
386,,,,,Digital marketing,Female,Beginner,Ibadan, Oyo state, Nigeria,10/08/2023 16:40,,,
387,,,,,Digital marketing,Female,Beginner,Awka,  Anambra state,10/08/2023 18:12,,,,
388,,,,,Video editing,Male,,OAU Ile Ife,11/08/2023 02:18,,,,,
389,,,,,Software development,Male,Beginner,Akure,11/08/2023 06:20,,,,,
390,,,,,Front end,Female,Beginner,Ondo,11/08/2023 06:25,,,,,
391,,,,,Technical writing,Female,Beginner,Nigeria,11/08/2023 06:54,,,,,
392,,,,,Data Analytics,Female,Beginner,Jos, Plateau State, Nigeria,11/08/2023 07:41,,,
393,,,,,Digital Marketing Skill,Male,Beginner,Ibadan, Nigeria,11/08/2023 08:24,,,,
394,,,,,Web design,Female,Beginner,Lagos,11/08/2023 08:25,,,,,
395,,,,,Business Analysis,Female,Beginner,Niger state,11/08/2023 08:54,,,,,
396,,,,,Coding,Female,Intermediate,Nigeria,11/08/2023 09:27,,,,,
397,,,,,Graphic design, branding, web design,Male,Intermediate,Lagos,11/08/2023 09:28,,,
398,,,,,All skills in the training,Male,Beginner,No2 ojuroko idiroko ogun state,11/08/2023 09:37,,,,,
399,,,,,Web development,Female,Beginner,Lagos / Ilorin,11/08/2023 11:33,,,,,
400,,,,,Tech,Female,Beginner,Lagos,11/08/2023 11:50,,,,,
401,,,,,Data analysis,Female,,Oau Osun state,11/08/2023 12:08,,,,,
402,,,,,Web development,Male,Beginner,Warri, Delta state,11/08/2023 12:36,,,,
403,,,,,UI/UX,Male,Intermediate,Abeokuta, Ogun State,11/08/2023 12:37,,,,
404,,,,,Tech generally,Female,Beginner,Lagos,11/08/2023 12:40,,,,,
405,,,,,Data analyst,Female,Beginner,Abia state,11/08/2023 13:27,,,,,
406,,,,,Graphics design,Female,Beginner,Lagos, Nigeria.,11/08/2023 14:03,,,,
407,,,,,Copy Writing,Male,Intermediate,Imo State,11/08/2023 14:19,,,,,
408,,,,,Software developing,Male,Beginner,Port Harcourt,11/08/2023 14:20,,,,,
409,,,,,I’m interested in tech,Female,Beginner,Akure,11/08/2023 14:22,,,,,
410,,,,,Tech,Female,Beginner,Internet,11/08/2023 14:31,,,,,
411,,,,,Web development,Female,Beginner,Alimosho Lagos,11/08/2023 14:41,,,,,
412,,,,,Graphic Design,Male,Intermediate,Nigeria,11/08/2023 14:42,,,,,
413,,,,,Product management,Female,,Nigeria,11/08/2023 14:46,,,,,
414,,,,,Graphic Designing,Male,,Ekiti,11/08/2023 15:08,,,,,
415,,,,,Predicting Next-Level Tech,Male,Intermediate,Nigeria,11/08/2023 15:10,,,,,
416,,,,,Coding,Male,Beginner,Badagry,11/08/2023 15:15,,,,,
417,,,,,UI/UX design,Male,Beginner,4corners ikom cross River state,11/08/2023 15:19,,,,,
418,,,,,Tech and media,Male,Beginner,Kogi state,11/08/2023 15:27,,,,,
419,,,,,Graphics design,Female,Beginner,Lagos State University,11/08/2023 15:28,,,,,
420,,,,,Design,Female,Beginner,Nigeria,11/08/2023 15:32,,,,,
421,,,,,AI Engineering,Male,Beginner,Ikorodu,11/08/2023 15:41,,,,,
422,,,,,Designs,Male,Beginner,Kogi state,okene,11/08/2023 15:52,,,,
423,,,,,Software developer,Male,Beginner,Oye, ekiti state, Nigeria.,11/08/2023 15:53,,,
424,,,,,UI/UX design,Female,Beginner,Lagos,11/08/2023 15:53,,,,,
425,,,,,Copywriting,Female,Beginner,Umuahia,11/08/2023 16:08,,,,,
426,,,,,Tech,Female,Beginner,Ekiti,11/08/2023 16:08,,,,,
427,,,,,Tech,Female,Intermediate,Lagos,11/08/2023 16:18,,,,,
428,,,,,Affiliate marketing,Male,Beginner,Ibadan,11/08/2023 16:24,,,,,
429,,,,,UI/UX,Female,Beginner,Lagos State, Nigeria,11/08/2023 16:28,,,,
430,,,,,Digital marketing and video editing,Male,Beginner,Imo State Nigeria,11/08/2023 16:30,,,,,
431,,,,,UI/UX Designing,Male,Beginner,Enugu,11/08/2023 16:45,,,,,
432,,,,,Python Programming,Male,Beginner,Nigeria,11/08/2023 17:07,,,,,
433,,,,,Photography and Video Editing,Male,Beginner,Ghana,11/08/2023 17:09,,,,,
434,,,,,Web development,Male,,Ogbomosho,11/08/2023 17:10,,,,,
435,,,,,Social media manager,,Beginner,Nigeria,11/08/2023 17:16,,,,,
436,,,,,Graphics/UI/UX,Female,Intermediate,Ekiti State,11/08/2023 17:25,,,,,
437,,,,,Tech,Female,Beginner,Atagba, Boluwaji, Ibadan,11/08/2023 18:26,,,
438,,,,,Graphic Design,Male,Intermediate,Lagos,11/08/2023 18:36,,,,,
439,,,,,Digital Marketing,Female,Beginner,Akwa Ibom State,11/08/2023 19:13,,,,,
440,,,,,Graphic design,Male,Beginner,Kano state Nigeria.,11/08/2023 19:14,,,,,
441,,,,,Website design,Female,,Ilesa, Osun State,11/08/2023 21:43,,,,
442,,,,,Web development,Male,Beginner,Lagos,11/08/2023 22:01,,,,,
443,,,,,Website development,Female,Beginner,Nigeria,11/08/2023 22:02,,,,,
444,,,,,Web development,Female,Intermediate,Lagos, Nigeria,11/08/2023 23:15,,,,
445,,,,,Digital marketing,Female,Intermediate,Lagos,11/08/2023 23:29,,,,,
446,,,,,Tech skill,Female,Beginner,Osogbo,12/08/2023 00:04,,,,,
447,,,,,Tech,Female,Beginner,Lagos,12/08/2023 00:36,,,,,
448,,,,,Data analysis,Female,Beginner,Ado,12/08/2023 02:13,,,,,
449,,,,,Coding,Female,Beginner,Ilesha, osun state.,12/08/2023 02:14,,,,
450,,,,,UI/UX,Female,Beginner,Ogbomoso, oyo state , Nigeria,12/08/2023 02:54,,,
451,,,,,Software development,Female,Beginner,Lagos,12/08/2023 02:56,,,,,
452,,,,,Digital Marketing, Content marketing,Female,Beginner,Nigeria,12/08/2023 06:16,,,,
453,,,,,Graphic Designs,Male,Intermediate,Katsina,12/08/2023 06:59,,,,,
454,,,,,Web design,Female,Beginner,Lagos maryland,12/08/2023 07:35,,,,,
455,,,,,All,Male,Professional,The Gamnia,12/08/2023 08:39,,,,,
456,,,,,Digital marketing, but I’m open to other options,Female,,Osun state, Nigeria,12/08/2023 08:41,,,
457,,,,,Cyber security,Female,Beginner,Nigeria,12/08/2023 08:44,,,,,
458,,,,,Tech developer,Female,Beginner,Ghana,12/08/2023 09:32,,,,,
459,,,,,Sales,Male,Beginner,ebenezerifeanacho92@gmail.com,12/08/2023 09:55,,,,,
460,,,,,Design,Male,Intermediate,Kano,12/08/2023 10:23,,,,,
461,,,,,Entrepreneurial,Male,Beginner,Business,12/08/2023 10:29,,,,,
462,,,,,Graphics design,Male,Intermediate,Eziobodo Owerri West IMO state,12/08/2023 19:29,,,,,
463,,,,,UI/UX,Male,Beginner,Ilorin, Kwara state.,14/08/2023 11:16,,,,
464,,,,,Ui/ux,Female,,Imo state. Nigeria,14/08/2023 11:27,,,,,
465,,,,,Web Development,Male,Beginner,Abéòkúta,14/08/2023 11:32,,,,,
466,,,,,Tech,Female,Beginner,Ondo state,14/08/2023 11:43,,,,,
467,,,,,Web design, graphic design,Male,,Lagos,14/08/2023 11:44,,,,
468,,,,,Product designer,Female,Beginner,Lagos,Nigeria,14/08/2023 11:46,,,,
469,,,,,UI/UX Design,Male,Beginner,Lagos State,14/08/2023 11:49,,,,,
470,,,,,Technology and marketing,Male,Beginner,Lagos,14/08/2023 11:58,,,,,
471,,,,,Web3 writing and copy writing,Female,Beginner,Lagos state,14/08/2023 12:04,,,,,
472,,,,,UI/UX Design,Male,Beginner,Ibadan,14/08/2023 12:19,,,,,
473,,,,,Graphics design, data analysis,Female,Beginner,Oyo state,14/08/2023 12:45,,,,
474,,,,,UI/UX Designer,Male,Intermediate,Ebonyi State, Nigeria.,14/08/2023 12:56,,,,
475,,,,,Frontend development,Female,Intermediate,Ogun State, Nigeria,14/08/2023 13:11,,,,
476,,,,,Design (UI/UX),Male,Beginner,Oworonshoki, Lagos,14/08/2023 13:18,,,,
477,,,,,Web development,Male,Beginner,Awka,14/08/2023 13:26,,,,,
478,,,,,Graphic design,Male,Intermediate,Lagos state,14/08/2023 13:30,,,,,
479,,,,,Project Management,Male,Intermediate,Lagos,14/08/2023 16:08,,,,,
480,,,,,Graphic Design,Male,Professional,Lagos, Nigeria,14/08/2023 16:28,,,,
481,,,,,Product management,Female,Beginner,Delta,14/08/2023 17:55,,,,,
482,,,,,Design,Female,,Nigeria,15/08/2023 04:47,,,,,
483,,,,,Front-End,Male,Beginner,Nigeria,15/08/2023 09:10,,,,,
484,,,,,Tech skill,Female,Beginner,Ibadan, Nigeria.,15/08/2023 09:20,,,,
485,,,,,Data analysis,Male,Beginner,Ikeja,15/08/2023 09:21,,,,,
486,,,,,web development (front-end & back-end),Female,Beginner,Edo state,15/08/2023 10:54,,,,,
487,,,,,Web development and Web 3,Female,Intermediate,Delta,15/08/2023 11:16,,,,,
488,,,,,Project management,Female,Intermediate,Ondo state, Nigeria,15/08/2023 13:05,,,,
489,,,,,Virtual assistance and graphic design,Female,Beginner,Lafia, Nasarawa. Nigeria.,15/08/2023 14:38,,,,
490,,,,,Product design,Male,Beginner,Lagos, Nigeria.,15/08/2023 14:48,,,,
491,,,,,Technology,Female,,Sagamu, ogun state,16/08/2023 08:32,,,,
492,,,,,Technical writing,Female,Beginner,Imo, Nigeria,16/08/2023 08:37,,,,
493,,,,,Web development,Female,Beginner,Lagos,16/08/2023 08:44,,,,,
494,,,,,Programming,Male,Intermediate,Lagos, Nigeria,16/08/2023 09:06,,,,
495,,,,,Graphic designer and video editing,Female,Beginner,Anambra Awka,16/08/2023 11:02,,,,,
496,,,,,Web design and AI,Male,Beginner,Lagos,16/08/2023 11:59,,,,,
497,,,,,HR,Female,Beginner,Benin, Nigeria,16/08/2023 12:35,,,,
498,,,,,Tech,Female,Beginner,Edo state,16/08/2023 12:53,,,,,
499,,,,,Tech,Female,Beginner,Ibadan, Nigeria,16/08/2023 13:02,,,,
500,,,,,Graphic design,Female,Beginner,Anambra state,16/08/2023 13:23,,,,,
501,,,,,UI/UX Design and 3D animation,Male,Intermediate,Nigeria,16/08/2023 14:26,,,,,
502,,,,,Data Analyst,Male,Beginner,Rivers State, Nigeria,16/08/2023 14:45,,,,
503,,,,,Web Development,Female,Beginner,Abeokuta, Nigeria,16/08/2023 16:43,,,,
504,,,,,IT Consultant,Female,Beginner,Lagos,16/08/2023 21:47,,,,,
505,,,,,How to create website for businesses,Female,Beginner,Lagos,17/08/2023 07:47,,,,,
506,,,,,Data Analytics,Female,,Nigeria,17/08/2023 09:19,,,,,
507,,,,,Digital marketing,Female,Beginner,Aba Abia state,17/08/2023 09:33,,,,,
508,,,,,Content creation,Female,Intermediate,Lagos, Nigeria,17/08/2023 10:25,,,,
509,,,,,Tech skill,Female,Beginner,Port harcourt,17/08/2023 12:21,,,,,
510,,,,,Social media,Female,Intermediate,Abeokuta ogun state Nigeria,17/08/2023 13:11,,,,,
511,,,,,Management,Male,Beginner,Abeokuta,17/08/2023 13:14,,,,,
512,,,,,Tech,Female,Beginner,Ile Ife osun state, Nigeria,17/08/2023 13:18,,,,
513,,,,,Social Media sales,Male,Intermediate,ABEOKUTA OGUN STATE NIGERIA,17/08/2023 13:23,,,,,
514,,,,,UI/UX,Female,Beginner,Ibadan,17/08/2023 13:57,,,,,
515,,,,,Nin,Male,Beginner,Ìf? osun atare,17/08/2023 20:48,,,,,
516,,,,,Tech,Female,Beginner,Asaba,18/08/2023 08:01,,,,,
517,,,,,Data entry,Female,Beginner,Benin city,18/08/2023 08:25,,,,,
518,,,,,Motion design,Male,Intermediate,Ilorin,18/08/2023 09:56,,,,,
519,,,,,Graphic designer,Male,Professional,Mosalasi street mowo badagry Lagos state Nigeria,18/08/2023 14:43,,,,,
520,,,,,Full stack programer,Female,,River state,18/08/2023 14:51,,,,,
521,,,,,Web designing,Female,Beginner,Lagos,18/08/2023 18:11,,,,,
522,,,,,Sales and marketing, digital products creation, website design, graphic design etc,Male,,Abia state Nigeria,18/08/2023 19:06,,
523,,,,,Graphic design,Male,Beginner,Umuchima, Imo State Nigeria.,18/08/2023 20:42,,,,
524,,,,,Tech,Male,Beginner,Uyo,18/08/2023 22:26,,,,,
525,,,,,Data science,Male,Beginner,Lagos,18/08/2023 22:30,,,,,
526,,,,,Web development,,Beginner,Benin city,18/08/2023 22:56,,,,,
527,,,,,Graphics design,Male,Beginner,Uyo,19/08/2023 04:15,,,,,
528,,,,,Graphic Design,Male,Intermediate,Ogun State, Nigeria,19/08/2023 08:55,,,,
529,,,,,Social media tech,Female,Beginner,Manchester,19/08/2023 09:25,,,,,
530,,,,,Data science,Female,Beginner,Lagos state, Nigeria,21/08/2023 09:03,,,,
531,,,,,UI/UX designing,Male,Beginner,Ile-ife, Osun state,22/08/2023 20:24,,,,
532,,,,,Graphics Design and Web Design,Female,Beginner,Lagos, Nigeria,25/08/2023 20:10,,,,
533,,,,,Phone engineering,Male,Beginner,Ekiti state,26/08/2023 08:43,,,,,
534,,,,,Tech skills,Female,Beginner,Lagos,30/08/2023 00:04,,,,,
535,,,,,Video editing,Female,,Ondo,30/08/2023 00:14,,,,,
536,,,,,Data analytics,Male,Beginner,Abeokuta,30/08/2023 18:53,,,,,
537,,,,,Data analyst,Male,Beginner,Ibadan,31/08/2023 12:20,,,,,
538,,,,,Microsoft Teams Helpdesk Bot optimization,Male,Beginner,Ogba,31/08/2023 13:02,,,,,
539,,,,,Technology and marketing,Male,Beginner,Lagos,01/09/2023 11:18,,,,,
540,,,,,Coding,Male,Intermediate,Lagos, Nigeria,01/09/2023 23:47,,,,
541,,,,,Graphic designing,Male,Intermediate,Lagos Nigeria,02/09/2023 09:06,,,,,
542,,,,,Data Analytics,Male,Beginner,Ibadan,02/09/2023 10:06,,,,,
543,,,,,Programming,Male,Beginner,7 Yusuf Usman Bala Close Abuja,09/09/2023 20:41,,,,,
544,,,,,Data Analysis,Male,Beginner,Lekki,10/09/2023 18:40,,,,,
545,,,,,Web Developer,Female,Beginner,Lagos,11/09/2023 10:02,,,,,
546,,,,,Data Analysis, web developer,Female,Beginner,Ibadan, Oyo state,11/09/2023 10:11,,,
547,,,,,Data Analysis,Female,Beginner,Lagos, Nigeria,11/09/2023 14:27,,,,
548,,,,,Data science,Female,,Lagos mainland,11/09/2023 15:22,,,,,
549,,,,,Data analyst,Female,Beginner,Lagos,11/09/2023 16:13,,,,,
550,,,,,Computer Science,Female,,1,Prince Avenue street igbo elerin first gate ojo,11/09/2023 18:41,,,,
551,,,,,Business Analysis,Female,,Lagos,11/09/2023 20:46,,,,,
552,,,,,Web developer,Female,Beginner,Mushin,11/09/2023 21:27,,,,,
553,,,,,Data Analysis,Female,Professional,Ibadan, Oyo State,11/09/2023 21:32,,,,
554,,,,,Data Analysis,Female,Professional,Ibadan, Oyo State,11/09/2023 21:32,,,,
555,,,,,Web development,Female,Beginner,Lagos,12/09/2023 10:28,,,,,
556,,,,,Tech,Male,Beginner,23 suenu road,12/09/2023 15:55,,,,,
557,,,,,Data scientists,Female,Beginner,Nigeria,12/09/2023 16:57,,,,,
558,,,,,Picture and Video editing,Female,Beginner,Egypt,13/09/2023 10:46,,,,,
559,,,,,Tech,Female,Beginner,Lagos Nigeria,13/09/2023 11:16,,,,,
560,,,,,Tech,Female,Beginner,Ibadan,13/09/2023 13:13,,,,,
561,,,,,Tech,Female,Beginner,High school area Ikorodu,Lagos State,13/09/2023 15:51,,,,
562,,,,,Data entry and online business,Male,Beginner,162, Ashipa Ayobo Lagos,13/09/2023 17:34,,,,
563,,,,,All to be treated,Female,Beginner,Alakuko,14/09/2023 04:21,,,,,
564,,,,,Data Analysis,Male,Beginner,Lagos,14/09/2023 10:14,,,,,
565,,,,,Coding,Male,Beginner,Lagos Mainland,14/09/2023 19:43,,,,,
566,,,,,IT analyst,Female,Beginner,Ogun State,14/09/2023 20:54,,,,,
567,,,,,Web designing,Female,Beginner,Lagos,15/09/2023 07:59,,,,,
568,,,,,UI/UX, Front End,Male,Intermediate,Lagos, Nigeria.,15/09/2023 19:52,,,
569,,,,,Tech,Male,Beginner,Lagos,16/09/2023 06:52,,,,,
570,,,,,Data analytics,Female,Beginner,Toll-gate ota,16/09/2023 11:33,,,,,
571,,,,,Data Analysis,Female,Beginner,Port Harcourt,16/09/2023 14:41,,,,,
572,,,,,Web Development, Data scientist, Data analyst,,Male,Beginner,Edo State,18/09/2023 04:18,,
573,,,,,Data,Female,,Abia,19/09/2023 21:07,,,,,
574,,,,,Data Analytics,Female,Beginner,Lagos,21/09/2023 15:07,,,,,
575,,,,,Software design,Male,Beginner,Anambra state,22/09/2023 15:55,,,,,
576,,,,,We,Female,Beginner,Uk,28/09/2023 08:05,,,,,
577,,,,,Web,Female,,Lagos,28/09/2023 08:12,,,,,
578,,,,,Data analysis,Female,Beginner,Fagba,28/09/2023 08:13,,,,,
579,,,,,MLS,Female,Beginner,Nigeria,28/09/2023 08:30,,,,,
580,,,,,Shoe making,Female,Beginner,Ibadan Oyo state,28/09/2023 08:55,,,,,
581,,,,,Business analysis,Female,Beginner,Lagos,28/09/2023 09:40,,,,,
582,,,,,Data analysis,Female,Beginner,Lagos state,28/09/2023 10:40,,,,,
583,,,,,UI/UX,Male,Intermediate,43 Moshalashi street shomolu lagos,28/09/2023 14:52,,,,,
584,,,,,Web development,Female,Beginner,No6,ogundero street bariga lagos,28/09/2023 15:16,,,,
585,,,,,Data Analysis,Female,Beginner,Lagos, Nigeria,28/09/2023 21:49,,,,
586,,,,,Web Development,Female,,Alagbado, Lagos state,30/09/2023 20:46,,,,
587,,,,,Business analysis,Female,Beginner,Lagos,30/10/2023 17:50,,,,,
588,,,,,Web development,Male,Beginner,Aba,30/10/2023 17:51,,,,,
589,,,,,Business Analysis,Male,Intermediate,Lagos Nigeria,30/10/2023 17:51,,,,,
590,,,,,Data analysis,Female,Beginner,Nigeria,30/10/2023 17:51,,,,,
591,,,,,Data science Coding and the likes,Male,Beginner,Lagos,30/10/2023 17:52,,,,,
592,,,,,Graphics,Female,Beginner,Ilorin,30/10/2023 17:53,,,,,
593,,,,,Business analysis,Male,Beginner,Ibadan, Oyo state.,30/10/2023 17:53,,,,
594,,,,,Data Analytics,Female,Beginner,Nigeria,30/10/2023 17:53,,,,,
595,,,,,Learning,Female,,Ogun State,30/10/2023 17:54,,,,,
596,,,,,Data science,Female,Beginner,Akure,30/10/2023 17:54,,,,,
597,,,,,Business analysis,Female,Beginner,Ikorodu,30/10/2023 17:55,,,,,
598,,,,,Tech,Female,Beginner,Osogbo, Osun State,30/10/2023 17:56,,,,
599,,,,,Business Analysis Ui/Ux,Female,Beginner,Lagos,30/10/2023 18:00,,,,,
600,,,,,Data Analysis,Female,,Anambra,30/10/2023 18:01,,,,,
601,,,,,Business analysis,Female,Beginner,Ondo state,30/10/2023 18:01,,,,,
602,,,,,Data science,Female,Beginner,Lagos State,30/10/2023 18:01,,,,,
603,,,,,Data analytics,Female,Beginner,Lagos Nigeria,30/10/2023 18:02,,,,,
604,,,,,Business analysis,Female,Beginner,Lagos State,30/10/2023 18:05,,,,,
605,,,,,Data Analytics,Female,Beginner,Lagos Nigeria,30/10/2023 18:05,,,,,
606,,,,,Broad knowledge about tech,Female,Beginner,Ilorin,30/10/2023 18:06,,,,,
607,,,,,Data Analysis,Female,Beginner,Ondo state,30/10/2023 18:11,,,,,
608,,,,,Graphics design,Male,Beginner,Shagari village, Akure, Ondo state.,30/10/2023 18:15,,,
609,,,,,Business analysis,Male,Beginner,Lagos,30/10/2023 18:16,,,,,
610,,,,,Data science,Female,Beginner,Nigeria,30/10/2023 18:17,,,,,
611,,,,,CYBER SECURITY,Male,Beginner,12 AWIN STREET BARIGA LAGOS NIGERIA,30/10/2023 18:20,,,,,
612,,,,,Data analysis,Male,Beginner,Elizade University,30/10/2023 18:21,,,,,
613,,,,,Data Analysis,Female,Beginner,Ondo state,30/10/2023 18:23,,,,,
614,,,,,Data Analysis,Male,Beginner,Ojodu Berger, Lagos Nigeria.,30/10/2023 18:28,,,,
615,,,,,Data Analytics,Male,Beginner,Lagos,30/10/2023 18:32,,,,,
616,,,,,Cybersecurity,Male,Beginner,Osun,30/10/2023 18:35,,,,,
617,,,,,Data analysis,Female,,Ilorin,30/10/2023 18:36,,,,,
618,,,,,Coding,Male,Beginner,Nigeria,30/10/2023 18:37,,,,,
619,,,,,Web development,Male,Beginner,Anambra,30/10/2023 18:45,,,,,
620,,,,,Content writing,Female,Beginner,10,UPS Estate, Agunfoye, Igbogbo, Ikorodu, Lagos,30/10/2023 18:51
621,,,,,Data analysis,Female,,Not fixed,30/10/2023 18:59,,,,,
622,,,,,Business Analysis,Male,Intermediate,Futa Akure,30/10/2023 19:00,,,,,
623,,,,,Lead generation,Female,Beginner,Bauchi,30/10/2023 19:09,,,,,
624,,,,,Data analyst,Male,Beginner,Ibadan,30/10/2023 19:21,,,,,
625,,,,,Data Analyst,Female,Beginner,Ibadan,30/10/2023 19:24,,,,,
626,,,,,Data Analysis,Female,,Anambra,30/10/2023 20:04,,,,,
627,,,,,Data analysis,Female,Beginner,Ibadan,Oyo state, Nigeria,30/10/2023 20:06,,,
628,,,,,Data analytics, graphics design,,Male,Beginner,Ogun State,30/10/2023 20:08,,,
629,,,,,Influencing,Male,Beginner,Ibadan,30/10/2023 20:20,,,,,
630,,,,,Graphic design,Male,Beginner,Abuja,30/10/2023 20:44,,,,,
631,,,,,Business Analysis,Female,Beginner,Benin city, Edo state Nigeria,30/10/2023 20:47,,,,
632,,,,,Tech,Female,Intermediate,Lagos,30/10/2023 21:01,,,,,
633,,,,,Full stack web development,Male,Beginner,University of Ilorin,30/10/2023 21:05,,,,,
634,,,,,Data Analysis,Male,Beginner,Ondo State, Nigeria,30/10/2023 21:28,,,,
635,,,,,Graphic design,Male,Intermediate,Nigeria,30/10/2023 22:05,,,,,
636,,,,,Digital Marketing,Female,,Lagos,30/10/2023 22:06,,,,,
